smiles,ld50
N1C2=C(C=CC=C2)N=C1C1=CC=CO1,2.57
CCOP(=S)(CC)SC1=CC=CC=C1,4.36
C[Si](Cl)(Cl)CCCC#N,2.45
FC(F)(F)C(Cl)(Cl)C(F)(F)Cl,0.98
CCCN(CCC)C(=O)C(CCC(=O)NCCCOC(=O)CC1=C(C)N(C(=O)C2=CC=C(Cl)C=C2)C2=C1C=C(OC)C=C2)NC(=O)C1=CC=CC=C1,3.3
CN1CCC(CC1)(OC1=CC=C(N)C=C1)C1=CC=CC=C1,2.84
COP(=O)(SC)SC,3.82
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,2.52
CCSC1=NN=C(C(=O)N1N)C(C)(C)C,2.58
COP(=S)(OC)OC1=CC=C(SC2=CC=C(OP(=S)(OC)OC)C=C2)C=C1,2.67
COP(=O)(OC)OC1=NC(Cl)=C(Cl)C=C1Cl,2.55
CCCCC(CC)COC(C)=O,1.76
CCOC(=O)CC1=NNC2=C1C=C(Cl)C=C2,1.7
C[As](C)C#N,3.42
OC1=C(C=CC(=O)OC(=O)C=CC2=C(O)C=CC=C2)C=CC=C1,2.31
CCCCCC,0.54
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,4.36
CC(=O)OCC=CCCCC=C,0.73
CN(SC1=CC=C(C=C1)[N+]([O-])=O)C(=O)OC1=CC=CC2=C1OC(C)(C)C2,4.17
CN1CCC(CC1)=C1C2=C(SC3=C1C=CC=C3)C=CC=C2,2.73
NC1=NC2=C(C=N1)N=CN2,2.27
CC1(C)C(C=C2CCCC2)C1C(=O)OCC1=COC(CC2=CC=CC=C2)=C1,3.76
COC1=CC2=CC=C(C=C2C=C1)C(C)C(=O)OCC(O)CO,2.27
C=CCCC=O,2.13
O=C1CCCC(=O)O1,2.33
CC(C)=CCC(CCN1CCCC1)(C(N)=O)C1=CC=CC2=C1C=CC=C2,3.69
CC1=CC2OC3C(O)C(O)C(C)(C33CO3)C2(CO)C(O)C1=O,4.21
OC1OCC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,2.31
CC1(CCO)CCOCO1,1.22
ClC12C3(Cl)C4(Cl)C5(Cl)C(Cl)(C1(Cl)C4(Cl)Cl)C2(Cl)C(Cl)(Cl)C35Cl,3.37
CC1=C(C)C(NC2=C(C=CC=C2)C(O)=O)=CC=C1,2.51
CC=CC(OC(=O)C=CC)OC(=O)C=CC,1.94
CC1=NC=C(CO)C(C(O)=O)=C1O,1.39
CC(C)=CC1C(C(Cl)=O)C1(C)C,2.67
CCOP(=S)(OCC)SCCl,4.53
CCCC1=C(O)C=CC=C1O,2.53
C1OC1C1CO1,3.04
CC(C)C(C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1)C1=CC=C(Cl)C=C1,3.78
O=C1N(CC2CO2)C(=O)C2=C1C=CC=C2,1.64
CNC(C)C#N,3.24
NS(=O)(=O)CCNC(=O)N(CCCl)N=O,3.81
CCOCCC(OCC)OCC,2.04
CC(CC1=CC=CC=C1)N(C)C(=O)CN1N=C(C=CC1=O)C1=CC=CC=C1,2.78
CCCCOC(C)COC(=O)COC1=CC(Cl)=C(Cl)C=C1Cl,2.87
CCCCNC(=O)OCC(C)(CCC)COC(N)=O,2.42
CCOC(=O)CCC(=O)OCC,1.31
OC1=C(C=O)C=CC=C1,2.37
CNC(=O)OC1=CC=C(CCC#N)C=C1,2.52
CC1OC(CC(OC=O)C1OC=O)OC1C(C)OC(CC1OC=O)OC1C(C)OC(CC1OC=O)OC1CCC2(C)C(CCC3C2CCC2(C)C(C(CC32O)OC=O)C2=CC(=O)OC2)C1,4.37
COCC(C)OC(C)=O,1.19
CCCC(CN1C=NC=N1)C1=CC=C(Cl)C=C1Cl,2.13
CCOP(=O)(OCC)OC1=CC=C(SC)C(C)=C1,4.51
CNCCCC12CCC(C3=C1C=CC=C3)C1=C2C=CC=C1,2.56
OCC(O)C1OC(=O)C(O)=C1O,1.17
CCCCCl,1.54
CC(=O)OC(C)(C)CC1=CC=CC=C1,1.76
CCOC1=CC=C2CC3C4C=CC(O)C5OC1=C2C45CCN3C,2.59
CCCCC(CC)COC(=O)CS,2.83
CNC(=O)SC1=CC=C(OS(C)(=O)=O)C=C1,3.37
CN1CCOC1=O,1.08
CCN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,1.86
CC1C2CCC(C)CN2C2CC3C4CC=C5CC(CCC5(C)C4CCC3(C)C12)OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(C)C(O)C(O)C1O,3.17
CN(C)C1C2C(O)C3C(=C)C4=C(C(O)=CC=C4Cl)C(=O)C3=C(O)C2(O)C(=O)C(C(N)=O)=C1O,2.38
CCOP(=S)(OCC)SC1CCOC1=O,2.43
N1N=NN=C1C1=CC=CC=C1,1.89
NNC(=O)CSC1=CC(OC2=CC=C(Cl)C=C2)=NC=N1,2.59
CCN1C=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12,2.7
CN1CCC(CC1)N1NC(=C(CC2=CC=CC=C2)C1=O)C1=CC=CC=C1,2.11
CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1CC,1.96
[O-][N+](=O)OCCOCCO[N+]([O-])=O,2.42
CCCNC(=O)OCC(O)C1COC2=C(O1)C=CC=C2,2.27
COP(=S)(OC)SC1CSC=CO1,3.41
CCCCNC(=O)OCC(O)C1COC2=C(O1)C=CC=C2,2.29
BrC=C,2.33
COC(=O)C1=C(C=CC=C1)N=NN(C)C,4.2
CI,3.27
CNC(=O)ON=C(C)SCC(N)=O,3.56
NC1=CC=C(O)C=C1,2.46
OC(=O)CNC(=O)C1=CC=C(Cl)C=C1,1.98
CCOC(C1=NCC(CC)(CC)CN1)C1=CC=C(Cl)C=C1,2.92
CC=CC=CCOC(C)=O,1.53
CCN(N=O)C(C)(C)C,1.91
COP(=S)(OC)OC1=C(Cl)C=C(I)C(Cl)=C1,2.25
CCCCCC(=O)C1=CC=C(N)C=C1,2.95
CCOP(=S)(OCC)SCC(=O)OC,2.41
OCC(O)OC1=CC=C(Cl)C=C1Cl,2.32
CCOC(=O)C=CC,1.58
CN(N=O)C1CCS(=O)(=O)C1,2.38
CCC1=NC=C(OCC=C(C)CCC=C(C)C)C=C1,2.51
CC(=O)OC1=C(C=CC=C1)C(=O)OC(=O)C1=C(OC(C)=O)C=CC=C1,2.19
COC1=CC=C(C=O)C=C1OC,1.92
CCCCSC(SCC1=CC=C(C=C1)C(C)(C)C)=NC1=CC=CN=C1,2.14
BrC(Br)Br,2.43
CCC(=O)NC1=CC(OC(=O)NC)=CC=C1,2.35
CC1=NN(C=C1)C(N)=O,2.06
CCCC1=NNC=C1,2.25
CC1=CC(N)=NC=C1,2.73
CC1CCCCN1N=O,2.33
CC1(C)CC(=O)CC(C)(C1)C#N,3.43
CCOP(=O)(OCC)OC1=CC2=C(C=C1)C(C)=CC(=O)O2,4.03
CC(N)(CC1=CC=C(O)C(O)=C1)C(O)=O,1.63
CCOP(=S)(CC)SCSC1=CC=C(Cl)C=C1,4.28
CN(C)C(=O)NC1=CC=CC=C1,1.41
CCCSP(C)(=S)OP(C)(=S)SCCC,3.7
CN1C(=O)N(C2=NC(Cl)=CC=C12)C1=CC=CC=C1,2.17
CCOC(OCC)C(=O)C1=CC=CC=C1,1.55
CCCCC(C)CC(O)C=CC1C(O)CC(=O)C1CC(=O)CCCCC(=O)OC,3.97
